"id_promotoria","cod_competencia","id_assunto_principal","id_localidade_judicial","id_orgao_juizo"
"22","5","3396","2707","270000581"
"22","5","3546","2707","270000581"
"22","25","3397","2707","270000581"
"22","5","7928","2707","270000581"
"23","32","14923","2707","270000677"
"23","10","9676","2707","270000652"
"23","3","6239","2707","270000652"
"23","3","12245","2707","270000652"
"23","3","12245","2707","270000652"
"23","3","6239","2707","270000652"
"23","4","12503","2707","270000652"
"23","3","5802","2707","270000652"
"23","3","14923","2707","270000652"
"23","25","14957","2707","270000581"
"23","3","5802","2707","270000652"
"23","3","5804","2707","270000652"
"23","36","10244","2707","270000652"
"23","36","10380","2707","270000652"
"23","2","7735","2707","270000580"
"23","3","12245","2707","270000652"
"23","3","12245","2707","270000652"
"23","3","5787","2707","270000652"
"23","3","6239","2707","270000652"
"23","2","7834","2707","270000580"
"24","6","3370","2736","270000635"
"24","5","3370","2736","270000635"
"24","3","10859","2736","270000634"
"24","3","10859","2736","270000634"
"24","3","6239","2736","270000634"
"24","25","3426","2736","270000635"
"24","2","3033612","2736","270000634"
"24","10","11389","2736","270000634"
"24","10","11389","2736","270000634"
"24","5","3416","2736","270000635"
"24","10","5801","2736","270000634"
"24","5","11363","2736","270000635"
"24","3","5804","2736","270000634"
"24","3","5802","2736","270000634"
"24","3","10859","2736","270000634"
"24","3","5788","2736","270000634"
"24","5","11417","2736","270000635"
"24","5","3637","2736","270000635"
"24","3","6239","2736","270000634"
"24","3","10859","2736","270000634"
"25","5","15128","2709","270000585"
"25","3","6239","2715","270000599"
"25","25","3397","2709","270000585"
"25","25","3402","2709","270000585"
"25","25","3396","2709","270000585"
"25","5","3431","2709","270000585"
"25","7","3608","2709","270000585"
"25","9","3402","2741","270000644"
"25","25","3572","2709","270000585"
"25","5","3416","2709","270000585"
"25","46","3632","2709","270000585"
"25","46","3632","2709","270000585"
"25","8","14933","2709","270000585"
"25","5","3426","2709","270000585"
"25","9","3402","2709","270000585"
"25","25","3402","2709","270000585"
"25","7","3608","2709","270000585"
"25","6","3372","2709","270000585"
"25","5","10908","2709","270000585"
"25","5","10908","2709","270000585"
"27","9","10949","2713","270000594"
"27","9","10948","2713","270000594"
"27","9","14943","2713","270000594"
"27","9","3402","2713","270000594"
"27","9","3402","2713","270000594"
"27","5","10640","2713","270000594"
"27","5","10640","2713","270000594"
"27","5","11417","2713","270000594"
"27","9","14943","2713","270000594"
"27","9","10948","2713","270000594"
"27","5","11417","2713","270000594"
"27","5","11978","2713","270000594"
"27","25","3402","2713","270000667"
"27","25","3386","2713","270000667"
"27","25","3402","2713","270000667"
"27","25","3573","2713","270000667"
"27","9","10948","2713","270000594"
"27","9","10948","2713","270000594"
"27","9","10948","2713","270000594"
"27","6","3372","2713","270000594"
"28","2","10382","2713","270000593"
"28","2","7735","2713","270000593"
"28","41","12500","2743","271000817"
