"id_promotoria","nome"
"124","01ª PROCURADORIA DE JUSTIÇA"
"125","05ª PROCURADORIA DE JUSTIÇA"
"126","GRUPO DE ATUAÇÃO ESPECIAL DE COMBATE AO CRIME ORGANIZADO"
"127","06ª PROCURADORIA DE JUSTIÇA"
"129","PROMOTORIA DE PLANTÃO DA 1ª REGIONAL"
"130","PROMOTORIA DE PLANTÃO DA 2ª REGIONAL"
"131","PROMOTORIA DE PLANTÃO DA 3ª REGIONAL"
"132","PROMOTORIA DE PLANTÃO DA 4ª REGIONAL"
"133","PROMOTORIA DE PLANTÃO DA 5ª REGIONAL"
"134","PROMOTORIA DE PLANTÃO DA 6ª REGIONAL"
"135","PROMOTORIA DE PLANTÃO DA 7ª REGIONAL"
"136","PROMOTORIA DE PLANTÃO DA 8ª REGIONAL"
"137","10ª PROCURADORIA DE JUSTIÇA"
"138","13ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"139","GRUPO DE ATUAÇÃO ESPECIALIZADA EM SEGURANÇA PÚBLICA"
"141","FORÇA TAREFA"
"142","MUTIRÃO VIOLÊNCIA DOMÉSTICA"
"143","04ª PROMOTORIA DE JUSTIÇA DE COLINAS DO TOCANTINS"
"144","11ª PROCURADORIA DE JUSTIÇA"
"145","12ª PROCURADORIA DE JUSTIÇA"
"146","CAOP DO CONSUMIDOR"
"147","02ª PROMOTORIA DE JUSTIÇA DE AUGUSTINOPOLIS"
"148","02ª PROMOTORIA DE JUSTIÇA DE MIRANORTE"
"149","07ª PROCURADORIA DE JUSTIÇA"
"150","PROMOTORIA DE JUSTIÇA REGIONAL AMBIENTAL DA BACIA DO ALTO E MEDIO ARAGUAIA"
"152","02ª PROMOTORIA DE JUSTIÇA DE COLMEIA"
"153","14ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"154","NUCLEO DE APOIO REMOTO AS PROMOTORIAS DE JUSTIÇA"
"155","FORÇA TAREFA - 28ª PROMOTORIA"
"156","NÚCLEO DO TRIBUNAL DO JÚRI DO MINISTÉRIO PÚBLICO"
"157","PROMOTORIA DE JUSTIÇA REGIONAL AMBIENTAL DO BICO DO PAPAGAIO"
"158","GRUPO DE TRABALHO PSIU"
"159","FORÇA TAREFA AMBIENTAL NO ARAGUAIA"
"160","CORREGEDORIA GERAL DE JUSTIÇA"
"161","02ª PROMOTORIA DE JUSTIÇA DE CRISTALÂNDIA"
"162","GRUPO DE ATUAÇÃO ESPECIAL NA DEFESA DO PATRIMÔNIO PÚBLICO E MORALIDADE ADMINISTRATIVA"
"163","1ª TURMA RECURSAL"
"164","2ª TURMA RECURSAL"
"165","GRUPO DE ATUAÇÃO ESPECIALIZADA EM MEIO AMBIENTE DESMATAMENTOS"
"166","02ª PROMOTORIA DE JUSTIÇA DE ARRAIAS"
"167","GRUPO DE ATUAÇÃO ESPECIALIZADA EM MEIO AMBIENTE - INCÊNDIOS/QUEIMADAS"
"168","31ª PROMOTORIA DE JUSTIÇA DA CAPITAL"
